"feature"	"treatment"	"doseLevel"
"478"	"CHOP_DMEM"	"Andrographolide"	"2"
"479"	"CHOP_DMEM"	"Andrographolide"	"3"
"480"	"CHOP_DMEM"	"Andrographolide"	"4"
"481"	"CHOP_DMEM"	"Andrographolide"	"5"
"482"	"CHOP_DMEM"	"Andrographolide"	"6"
"483"	"CHOP_DMEM"	"Andrographolide"	"7"
"484"	"CHOP_DMEM"	"Andrographolide"	"8"
"485"	"CHOP_DMEM"	"CDDO-Me"	"1"
"486"	"CHOP_DMEM"	"CDDO-Me"	"2"
"487"	"CHOP_DMEM"	"CDDO-Me"	"3"
"488"	"CHOP_DMEM"	"CDDO-Me"	"4"
"489"	"CHOP_DMEM"	"CDDO-Me"	"5"
"490"	"CHOP_DMEM"	"CDDO-Me"	"6"
"491"	"CHOP_DMEM"	"CDDO-Me"	"7"
"492"	"CHOP_DMEM"	"CDDO-Me"	"8"
"493"	"CHOP_DMEM"	"DEM"	"1"
"494"	"CHOP_DMEM"	"DEM"	"2"
"495"	"CHOP_DMEM"	"DEM"	"3"
"496"	"CHOP_DMEM"	"DEM"	"4"
"497"	"CHOP_DMEM"	"DEM"	"5"
"498"	"CHOP_DMEM"	"DEM"	"6"
"499"	"CHOP_DMEM"	"DEM"	"7"
"500"	"CHOP_DMEM"	"DEM"	"8"
"501"	"CHOP_DMEM"	"Diclofenac"	"1"
"502"	"CHOP_DMEM"	"Diclofenac"	"2"
"503"	"CHOP_DMEM"	"Diclofenac"	"3"
"504"	"CHOP_DMEM"	"Diclofenac"	"4"
"505"	"CHOP_DMEM"	"Diclofenac"	"5"
"506"	"CHOP_DMEM"	"Diclofenac"	"6"
"507"	"CHOP_DMEM"	"Diclofenac"	"7"
"508"	"CHOP_DMEM"	"Diclofenac"	"8"
"509"	"CHOP_DMEM"	"Diclofenac"	"9"
"510"	"CHOP_DMEM"	"DMSO"	"1"
"511"	"CHOP_DMEM"	"Ethacrynic acid"	"1"
"512"	"CHOP_DMEM"	"Ethacrynic acid"	"2"
"513"	"CHOP_DMEM"	"Ethacrynic acid"	"3"
"514"	"CHOP_DMEM"	"Ethacrynic acid"	"4"
"515"	"CHOP_DMEM"	"Ethacrynic acid"	"5"
"516"	"CHOP_DMEM"	"Ethacrynic acid"	"6"
"517"	"CHOP_DMEM"	"Ethacrynic acid"	"7"
"518"	"CHOP_DMEM"	"Ethacrynic acid"	"8"
"519"	"CHOP_DMEM"	"Sulforaphane"	"1"
"520"	"CHOP_DMEM"	"Sulforaphane"	"2"
"521"	"CHOP_DMEM"	"Sulforaphane"	"3"
"522"	"CHOP_DMEM"	"Sulforaphane"	"4"
"523"	"CHOP_DMEM"	"Sulforaphane"	"5"
"524"	"CHOP_DMEM"	"Sulforaphane"	"6"
"525"	"CHOP_DMEM"	"Sulforaphane"	"7"
"526"	"CHOP_DMEM"	"Sulforaphane"	"8"
"527"	"CHOP_DMEM"	"TBHQ"	"1"
"528"	"CHOP_DMEM"	"TBHQ"	"2"
"529"	"CHOP_DMEM"	"TBHQ"	"3"
"530"	"CHOP_DMEM"	"TBHQ"	"4"
"531"	"CHOP_DMEM"	"TBHQ"	"5"
"532"	"CHOP_DMEM"	"TBHQ"	"6"
"533"	"CHOP_DMEM"	"TBHQ"	"7"
"534"	"CHOP_DMEM"	"TBHQ"	"8"
"535"	"CHOP_DMEM"	"TBHQ"	"9"
"536"	"CHOP_DMEM"	"Troglitazone"	"1"
"537"	"CHOP_DMEM"	"Troglitazone"	"2"
"538"	"CHOP_DMEM"	"Troglitazone"	"3"
"539"	"CHOP_DMEM"	"Troglitazone"	"4"
"540"	"CHOP_DMEM"	"Troglitazone"	"5"
"541"	"CHOP_DMEM"	"Troglitazone"	"6"
"542"	"CHOP_DMEM"	"Troglitazone"	"7"
"543"	"CHOP_DMEM"	"Troglitazone"	"8"
"544"	"CHOP_DMEM"	"Troglitazone"	"9"
"545"	"HMOX1_DMEM"	"Andrographolide"	"1"
"546"	"HMOX1_DMEM"	"Andrographolide"	"2"
"547"	"HMOX1_DMEM"	"Andrographolide"	"3"
"548"	"HMOX1_DMEM"	"Andrographolide"	"4"
"549"	"HMOX1_DMEM"	"Andrographolide"	"5"
"550"	"HMOX1_DMEM"	"Andrographolide"	"6"
"551"	"HMOX1_DMEM"	"Andrographolide"	"7"
"552"	"HMOX1_DMEM"	"Andrographolide"	"8"
"553"	"HMOX1_DMEM"	"CDDO-Me"	"1"
"554"	"HMOX1_DMEM"	"CDDO-Me"	"2"
"555"	"HMOX1_DMEM"	"CDDO-Me"	"3"
"556"	"HMOX1_DMEM"	"CDDO-Me"	"4"
"557"	"HMOX1_DMEM"	"CDDO-Me"	"5"
"558"	"HMOX1_DMEM"	"CDDO-Me"	"6"
"559"	"HMOX1_DMEM"	"CDDO-Me"	"7"
"560"	"HMOX1_DMEM"	"CDDO-Me"	"8"
"561"	"HMOX1_DMEM"	"DEM"	"1"
"562"	"HMOX1_DMEM"	"DEM"	"2"
"563"	"HMOX1_DMEM"	"DEM"	"3"
"564"	"HMOX1_DMEM"	"DEM"	"4"
"565"	"HMOX1_DMEM"	"DEM"	"5"
"566"	"HMOX1_DMEM"	"DEM"	"6"
"567"	"HMOX1_DMEM"	"DEM"	"7"
"568"	"HMOX1_DMEM"	"DEM"	"8"
"569"	"HMOX1_DMEM"	"Diclofenac"	"1"
"570"	"HMOX1_DMEM"	"Diclofenac"	"2"
"571"	"HMOX1_DMEM"	"Diclofenac"	"3"
"572"	"HMOX1_DMEM"	"Diclofenac"	"4"
"573"	"HMOX1_DMEM"	"Diclofenac"	"5"
"574"	"HMOX1_DMEM"	"Diclofenac"	"6"
"575"	"HMOX1_DMEM"	"Diclofenac"	"7"
"576"	"HMOX1_DMEM"	"Diclofenac"	"8"
"577"	"HMOX1_DMEM"	"Diclofenac"	"9"
"578"	"HMOX1_DMEM"	"DMSO"	"1"
"579"	"HMOX1_DMEM"	"Ethacrynic acid"	"1"
"580"	"HMOX1_DMEM"	"Ethacrynic acid"	"2"
"581"	"HMOX1_DMEM"	"Ethacrynic acid"	"3"
"582"	"HMOX1_DMEM"	"Ethacrynic acid"	"4"
"583"	"HMOX1_DMEM"	"Ethacrynic acid"	"5"
"584"	"HMOX1_DMEM"	"Ethacrynic acid"	"6"
"585"	"HMOX1_DMEM"	"Ethacrynic acid"	"7"
"586"	"HMOX1_DMEM"	"Ethacrynic acid"	"8"
"587"	"HMOX1_DMEM"	"Sulforaphane"	"1"
"588"	"HMOX1_DMEM"	"Sulforaphane"	"2"
"589"	"HMOX1_DMEM"	"Sulforaphane"	"3"
"590"	"HMOX1_DMEM"	"Sulforaphane"	"4"
"591"	"HMOX1_DMEM"	"Sulforaphane"	"5"
"592"	"HMOX1_DMEM"	"Sulforaphane"	"6"
"593"	"HMOX1_DMEM"	"Sulforaphane"	"7"
"594"	"HMOX1_DMEM"	"Sulforaphane"	"8"
"595"	"HMOX1_DMEM"	"TBHQ"	"1"
"596"	"HMOX1_DMEM"	"TBHQ"	"2"
"597"	"HMOX1_DMEM"	"TBHQ"	"3"
"598"	"HMOX1_DMEM"	"TBHQ"	"4"
"599"	"HMOX1_DMEM"	"TBHQ"	"5"
"600"	"HMOX1_DMEM"	"TBHQ"	"6"
"601"	"HMOX1_DMEM"	"TBHQ"	"7"
"602"	"HMOX1_DMEM"	"TBHQ"	"8"
"603"	"HMOX1_DMEM"	"TBHQ"	"9"
"604"	"HMOX1_DMEM"	"Troglitazone"	"1"
"605"	"HMOX1_DMEM"	"Troglitazone"	"2"
"606"	"HMOX1_DMEM"	"Troglitazone"	"4"
"607"	"HMOX1_DMEM"	"Troglitazone"	"5"
"608"	"HMOX1_DMEM"	"Troglitazone"	"6"
"609"	"HMOX1_DMEM"	"Troglitazone"	"7"
"610"	"HMOX1_DMEM"	"Troglitazone"	"8"
"611"	"HMOX1_DMEM"	"Troglitazone"	"9"
"612"	"HSPA1B_DMEM"	"Andrographolide"	"1"
"613"	"HSPA1B_DMEM"	"Andrographolide"	"2"
"614"	"HSPA1B_DMEM"	"Andrographolide"	"3"
"615"	"HSPA1B_DMEM"	"Andrographolide"	"4"
"616"	"HSPA1B_DMEM"	"Andrographolide"	"5"
"617"	"HSPA1B_DMEM"	"Andrographolide"	"6"
"618"	"HSPA1B_DMEM"	"Andrographolide"	"7"
"619"	"HSPA1B_DMEM"	"Andrographolide"	"8"
"620"	"HSPA1B_DMEM"	"CDDO-Me"	"1"
"621"	"HSPA1B_DMEM"	"CDDO-Me"	"2"
"622"	"HSPA1B_DMEM"	"CDDO-Me"	"3"
"623"	"HSPA1B_DMEM"	"CDDO-Me"	"4"
"624"	"HSPA1B_DMEM"	"CDDO-Me"	"5"
"625"	"HSPA1B_DMEM"	"CDDO-Me"	"6"
"626"	"HSPA1B_DMEM"	"CDDO-Me"	"7"
"627"	"HSPA1B_DMEM"	"CDDO-Me"	"8"
"628"	"HSPA1B_DMEM"	"DEM"	"1"
"629"	"HSPA1B_DMEM"	"DEM"	"2"
"630"	"HSPA1B_DMEM"	"DEM"	"3"
"631"	"HSPA1B_DMEM"	"DEM"	"4"
"632"	"HSPA1B_DMEM"	"DEM"	"5"
"633"	"HSPA1B_DMEM"	"DEM"	"6"
"634"	"HSPA1B_DMEM"	"DEM"	"7"
"635"	"HSPA1B_DMEM"	"DEM"	"8"
"636"	"HSPA1B_DMEM"	"Diclofenac"	"1"
"637"	"HSPA1B_DMEM"	"Diclofenac"	"2"
"638"	"HSPA1B_DMEM"	"Diclofenac"	"3"
"639"	"HSPA1B_DMEM"	"Diclofenac"	"4"
"640"	"HSPA1B_DMEM"	"Diclofenac"	"5"
"641"	"HSPA1B_DMEM"	"Diclofenac"	"6"
"642"	"HSPA1B_DMEM"	"Diclofenac"	"7"
"643"	"HSPA1B_DMEM"	"Diclofenac"	"8"
"644"	"HSPA1B_DMEM"	"Diclofenac"	"9"
"645"	"HSPA1B_DMEM"	"DMSO"	"1"
"646"	"HSPA1B_DMEM"	"Ethacrynic acid"	"1"
"647"	"HSPA1B_DMEM"	"Ethacrynic acid"	"2"
"648"	"HSPA1B_DMEM"	"Ethacrynic acid"	"3"
"649"	"HSPA1B_DMEM"	"Ethacrynic acid"	"4"
"650"	"HSPA1B_DMEM"	"Ethacrynic acid"	"5"
"651"	"HSPA1B_DMEM"	"Ethacrynic acid"	"6"
"652"	"HSPA1B_DMEM"	"Ethacrynic acid"	"7"
"653"	"HSPA1B_DMEM"	"Ethacrynic acid"	"8"
"654"	"HSPA1B_DMEM"	"Sulforaphane"	"1"
"655"	"HSPA1B_DMEM"	"Sulforaphane"	"2"
"656"	"HSPA1B_DMEM"	"Sulforaphane"	"3"
"657"	"HSPA1B_DMEM"	"Sulforaphane"	"4"
"658"	"HSPA1B_DMEM"	"Sulforaphane"	"5"
"659"	"HSPA1B_DMEM"	"Sulforaphane"	"6"
"660"	"HSPA1B_DMEM"	"Sulforaphane"	"7"
"661"	"HSPA1B_DMEM"	"Sulforaphane"	"8"
"662"	"HSPA1B_DMEM"	"TBHQ"	"1"
"663"	"HSPA1B_DMEM"	"TBHQ"	"2"
"664"	"HSPA1B_DMEM"	"TBHQ"	"3"
"665"	"HSPA1B_DMEM"	"TBHQ"	"4"
"666"	"HSPA1B_DMEM"	"TBHQ"	"5"
"667"	"HSPA1B_DMEM"	"TBHQ"	"6"
"668"	"HSPA1B_DMEM"	"TBHQ"	"7"
"669"	"HSPA1B_DMEM"	"TBHQ"	"8"
"670"	"HSPA1B_DMEM"	"TBHQ"	"9"
"671"	"HSPA1B_DMEM"	"Troglitazone"	"1"
"672"	"HSPA1B_DMEM"	"Troglitazone"	"2"
"673"	"HSPA1B_DMEM"	"Troglitazone"	"3"
"674"	"HSPA1B_DMEM"	"Troglitazone"	"4"
"675"	"HSPA1B_DMEM"	"Troglitazone"	"5"
"676"	"HSPA1B_DMEM"	"Troglitazone"	"6"
"677"	"HSPA1B_DMEM"	"Troglitazone"	"7"
"678"	"HSPA1B_DMEM"	"Troglitazone"	"8"
"679"	"HSPA1B_DMEM"	"Troglitazone"	"9"
"680"	"ICAM1_DMEM"	"Andrographolide"	"1"
"681"	"ICAM1_DMEM"	"Andrographolide"	"2"
"682"	"ICAM1_DMEM"	"Andrographolide"	"3"
"683"	"ICAM1_DMEM"	"Andrographolide"	"4"
"684"	"ICAM1_DMEM"	"Andrographolide"	"5"
"685"	"ICAM1_DMEM"	"Andrographolide"	"6"
"686"	"ICAM1_DMEM"	"Andrographolide"	"7"
"687"	"ICAM1_DMEM"	"Andrographolide"	"8"
"688"	"ICAM1_DMEM"	"CDDO-Me"	"1"
"689"	"ICAM1_DMEM"	"CDDO-Me"	"2"
"690"	"ICAM1_DMEM"	"CDDO-Me"	"3"
"691"	"ICAM1_DMEM"	"CDDO-Me"	"4"
"692"	"ICAM1_DMEM"	"CDDO-Me"	"5"
"693"	"ICAM1_DMEM"	"CDDO-Me"	"6"
"694"	"ICAM1_DMEM"	"CDDO-Me"	"7"
"695"	"ICAM1_DMEM"	"CDDO-Me"	"8"
"696"	"ICAM1_DMEM"	"DEM"	"1"
"697"	"ICAM1_DMEM"	"DEM"	"2"
"698"	"ICAM1_DMEM"	"DEM"	"3"
"699"	"ICAM1_DMEM"	"DEM"	"4"
"700"	"ICAM1_DMEM"	"DEM"	"5"
"701"	"ICAM1_DMEM"	"DEM"	"6"
"702"	"ICAM1_DMEM"	"DEM"	"7"
"703"	"ICAM1_DMEM"	"DEM"	"8"
"704"	"ICAM1_DMEM"	"Diclofenac"	"1"
"705"	"ICAM1_DMEM"	"Diclofenac"	"2"
"706"	"ICAM1_DMEM"	"Diclofenac"	"3"
"707"	"ICAM1_DMEM"	"Diclofenac"	"4"
"708"	"ICAM1_DMEM"	"Diclofenac"	"5"
"709"	"ICAM1_DMEM"	"Diclofenac"	"6"
"710"	"ICAM1_DMEM"	"Diclofenac"	"7"
"711"	"ICAM1_DMEM"	"Diclofenac"	"8"
"712"	"ICAM1_DMEM"	"Diclofenac"	"9"
"713"	"ICAM1_DMEM"	"DMSO"	"1"
"714"	"ICAM1_DMEM"	"Ethacrynic acid"	"1"
"715"	"ICAM1_DMEM"	"Ethacrynic acid"	"2"
"716"	"ICAM1_DMEM"	"Ethacrynic acid"	"3"
"717"	"ICAM1_DMEM"	"Ethacrynic acid"	"4"
"718"	"ICAM1_DMEM"	"Ethacrynic acid"	"5"
"719"	"ICAM1_DMEM"	"Ethacrynic acid"	"6"
"720"	"ICAM1_DMEM"	"Ethacrynic acid"	"7"
"721"	"ICAM1_DMEM"	"Ethacrynic acid"	"8"
"722"	"ICAM1_DMEM"	"Sulforaphane"	"1"
"723"	"ICAM1_DMEM"	"Sulforaphane"	"2"
"724"	"ICAM1_DMEM"	"Sulforaphane"	"3"
"725"	"ICAM1_DMEM"	"Sulforaphane"	"4"
"726"	"ICAM1_DMEM"	"Sulforaphane"	"5"
"727"	"ICAM1_DMEM"	"Sulforaphane"	"6"
"728"	"ICAM1_DMEM"	"Sulforaphane"	"7"
"729"	"ICAM1_DMEM"	"Sulforaphane"	"8"
"730"	"ICAM1_DMEM"	"TBHQ"	"1"
"731"	"ICAM1_DMEM"	"TBHQ"	"2"
"732"	"ICAM1_DMEM"	"TBHQ"	"3"
"733"	"ICAM1_DMEM"	"TBHQ"	"4"
"734"	"ICAM1_DMEM"	"TBHQ"	"5"
"735"	"ICAM1_DMEM"	"TBHQ"	"6"
"736"	"ICAM1_DMEM"	"TBHQ"	"7"
"737"	"ICAM1_DMEM"	"TBHQ"	"8"
"738"	"ICAM1_DMEM"	"TBHQ"	"9"
"739"	"ICAM1_DMEM"	"Troglitazone"	"1"
"740"	"ICAM1_DMEM"	"Troglitazone"	"2"
"741"	"ICAM1_DMEM"	"Troglitazone"	"3"
"742"	"ICAM1_DMEM"	"Troglitazone"	"4"
"743"	"ICAM1_DMEM"	"Troglitazone"	"5"
"744"	"ICAM1_DMEM"	"Troglitazone"	"6"
"745"	"ICAM1_DMEM"	"Troglitazone"	"7"
"746"	"ICAM1_DMEM"	"Troglitazone"	"8"
"747"	"ICAM1_DMEM"	"Troglitazone"	"9"
"748"	"ICAM1_IL1"	"Andrographolide"	"1"
"749"	"ICAM1_IL1"	"Andrographolide"	"2"
"750"	"ICAM1_IL1"	"Andrographolide"	"3"
"751"	"ICAM1_IL1"	"Andrographolide"	"4"
"752"	"ICAM1_IL1"	"Andrographolide"	"5"
"753"	"ICAM1_IL1"	"Andrographolide"	"6"
"754"	"ICAM1_IL1"	"Andrographolide"	"7"
"755"	"ICAM1_IL1"	"Andrographolide"	"8"
"756"	"ICAM1_IL1"	"CDDO-Me"	"1"
"757"	"ICAM1_IL1"	"CDDO-Me"	"2"
"758"	"ICAM1_IL1"	"CDDO-Me"	"3"
"759"	"ICAM1_IL1"	"CDDO-Me"	"4"
"760"	"ICAM1_IL1"	"CDDO-Me"	"5"
"761"	"ICAM1_IL1"	"CDDO-Me"	"6"
"762"	"ICAM1_IL1"	"CDDO-Me"	"7"
"763"	"ICAM1_IL1"	"CDDO-Me"	"8"
"764"	"ICAM1_IL1"	"DEM"	"1"
"765"	"ICAM1_IL1"	"DEM"	"2"
"766"	"ICAM1_IL1"	"DEM"	"3"
"767"	"ICAM1_IL1"	"DEM"	"4"
"768"	"ICAM1_IL1"	"DEM"	"5"
"769"	"ICAM1_IL1"	"DEM"	"6"
"770"	"ICAM1_IL1"	"DEM"	"7"
"771"	"ICAM1_IL1"	"DEM"	"8"
"772"	"ICAM1_IL1"	"Diclofenac"	"1"
"773"	"ICAM1_IL1"	"Diclofenac"	"2"
"774"	"ICAM1_IL1"	"Diclofenac"	"3"
"775"	"ICAM1_IL1"	"Diclofenac"	"4"
"776"	"ICAM1_IL1"	"Diclofenac"	"5"
"777"	"ICAM1_IL1"	"Diclofenac"	"6"
"778"	"ICAM1_IL1"	"Diclofenac"	"7"
"779"	"ICAM1_IL1"	"Diclofenac"	"8"
"780"	"ICAM1_IL1"	"Diclofenac"	"9"
"781"	"ICAM1_IL1"	"DMSO"	"1"
"782"	"ICAM1_IL1"	"Ethacrynic acid"	"1"
"783"	"ICAM1_IL1"	"Ethacrynic acid"	"2"
"784"	"ICAM1_IL1"	"Ethacrynic acid"	"3"
"785"	"ICAM1_IL1"	"Ethacrynic acid"	"4"
"786"	"ICAM1_IL1"	"Ethacrynic acid"	"5"
"787"	"ICAM1_IL1"	"Ethacrynic acid"	"6"
"788"	"ICAM1_IL1"	"Ethacrynic acid"	"7"
"789"	"ICAM1_IL1"	"Ethacrynic acid"	"8"
"790"	"ICAM1_IL1"	"Sulforaphane"	"1"
"791"	"ICAM1_IL1"	"Sulforaphane"	"2"
"792"	"ICAM1_IL1"	"Sulforaphane"	"3"
"793"	"ICAM1_IL1"	"Sulforaphane"	"4"
"794"	"ICAM1_IL1"	"Sulforaphane"	"5"
"795"	"ICAM1_IL1"	"Sulforaphane"	"6"
"796"	"ICAM1_IL1"	"Sulforaphane"	"7"
"797"	"ICAM1_IL1"	"Sulforaphane"	"8"
"798"	"ICAM1_IL1"	"TBHQ"	"1"
"799"	"ICAM1_IL1"	"TBHQ"	"2"
"800"	"ICAM1_IL1"	"TBHQ"	"3"
"801"	"ICAM1_IL1"	"TBHQ"	"4"
"802"	"ICAM1_IL1"	"TBHQ"	"5"
"803"	"ICAM1_IL1"	"TBHQ"	"6"
"804"	"ICAM1_IL1"	"TBHQ"	"7"
"805"	"ICAM1_IL1"	"TBHQ"	"8"
"806"	"ICAM1_IL1"	"TBHQ"	"9"
"807"	"ICAM1_IL1"	"Troglitazone"	"1"
"808"	"ICAM1_IL1"	"Troglitazone"	"2"
"809"	"ICAM1_IL1"	"Troglitazone"	"3"
"810"	"ICAM1_IL1"	"Troglitazone"	"4"
"811"	"ICAM1_IL1"	"Troglitazone"	"5"
"812"	"ICAM1_IL1"	"Troglitazone"	"6"
"813"	"ICAM1_IL1"	"Troglitazone"	"7"
"814"	"ICAM1_IL1"	"Troglitazone"	"8"
"815"	"ICAM1_IL1"	"Troglitazone"	"9"
"816"	"ICAM1_TNF"	"Andrographolide"	"1"
"817"	"ICAM1_TNF"	"Andrographolide"	"2"
"818"	"ICAM1_TNF"	"Andrographolide"	"3"
"819"	"ICAM1_TNF"	"Andrographolide"	"4"
"820"	"ICAM1_TNF"	"Andrographolide"	"5"
"821"	"ICAM1_TNF"	"Andrographolide"	"6"
"822"	"ICAM1_TNF"	"Andrographolide"	"7"
"823"	"ICAM1_TNF"	"Andrographolide"	"8"
"824"	"ICAM1_TNF"	"CDDO-Me"	"1"
"825"	"ICAM1_TNF"	"CDDO-Me"	"2"
"826"	"ICAM1_TNF"	"CDDO-Me"	"3"
"827"	"ICAM1_TNF"	"CDDO-Me"	"4"
"828"	"ICAM1_TNF"	"CDDO-Me"	"5"
"829"	"ICAM1_TNF"	"CDDO-Me"	"6"
"830"	"ICAM1_TNF"	"CDDO-Me"	"7"
"831"	"ICAM1_TNF"	"CDDO-Me"	"8"
"832"	"ICAM1_TNF"	"DEM"	"1"
"833"	"ICAM1_TNF"	"DEM"	"2"
"834"	"ICAM1_TNF"	"DEM"	"3"
"835"	"ICAM1_TNF"	"DEM"	"4"
"836"	"ICAM1_TNF"	"DEM"	"5"
"837"	"ICAM1_TNF"	"DEM"	"6"
"838"	"ICAM1_TNF"	"DEM"	"7"
"839"	"ICAM1_TNF"	"DEM"	"8"
"840"	"ICAM1_TNF"	"Diclofenac"	"1"
"841"	"ICAM1_TNF"	"Diclofenac"	"2"
"842"	"ICAM1_TNF"	"Diclofenac"	"3"
"843"	"ICAM1_TNF"	"Diclofenac"	"4"
"844"	"ICAM1_TNF"	"Diclofenac"	"5"
"845"	"ICAM1_TNF"	"Diclofenac"	"6"
"846"	"ICAM1_TNF"	"Diclofenac"	"7"
"847"	"ICAM1_TNF"	"Diclofenac"	"8"
"848"	"ICAM1_TNF"	"Diclofenac"	"9"
"849"	"ICAM1_TNF"	"DMSO"	"1"
"850"	"ICAM1_TNF"	"Ethacrynic acid"	"1"
"851"	"ICAM1_TNF"	"Ethacrynic acid"	"2"
"852"	"ICAM1_TNF"	"Ethacrynic acid"	"3"
"853"	"ICAM1_TNF"	"Ethacrynic acid"	"4"
"854"	"ICAM1_TNF"	"Ethacrynic acid"	"5"
"855"	"ICAM1_TNF"	"Ethacrynic acid"	"6"
"856"	"ICAM1_TNF"	"Ethacrynic acid"	"7"
"857"	"ICAM1_TNF"	"Ethacrynic acid"	"8"
"858"	"ICAM1_TNF"	"Sulforaphane"	"1"
"859"	"ICAM1_TNF"	"Sulforaphane"	"2"
"860"	"ICAM1_TNF"	"Sulforaphane"	"3"
"861"	"ICAM1_TNF"	"Sulforaphane"	"4"
"862"	"ICAM1_TNF"	"Sulforaphane"	"5"
"863"	"ICAM1_TNF"	"Sulforaphane"	"6"
"864"	"ICAM1_TNF"	"Sulforaphane"	"7"
"865"	"ICAM1_TNF"	"Sulforaphane"	"8"
"866"	"ICAM1_TNF"	"TBHQ"	"1"
"867"	"ICAM1_TNF"	"TBHQ"	"2"
"868"	"ICAM1_TNF"	"TBHQ"	"3"
"869"	"ICAM1_TNF"	"TBHQ"	"4"
"870"	"ICAM1_TNF"	"TBHQ"	"5"
"871"	"ICAM1_TNF"	"TBHQ"	"6"
"872"	"ICAM1_TNF"	"TBHQ"	"7"
"873"	"ICAM1_TNF"	"TBHQ"	"8"
"874"	"ICAM1_TNF"	"TBHQ"	"9"
"875"	"ICAM1_TNF"	"Troglitazone"	"1"
"876"	"ICAM1_TNF"	"Troglitazone"	"2"
"877"	"ICAM1_TNF"	"Troglitazone"	"3"
"878"	"ICAM1_TNF"	"Troglitazone"	"4"
"879"	"ICAM1_TNF"	"Troglitazone"	"5"
"880"	"ICAM1_TNF"	"Troglitazone"	"6"
"881"	"ICAM1_TNF"	"Troglitazone"	"7"
"882"	"ICAM1_TNF"	"Troglitazone"	"8"
"883"	"ICAM1_TNF"	"Troglitazone"	"9"
"884"	"IkBalpha_IL1"	"Andrographolide"	"4"
"885"	"IkBalpha_IL1"	"Andrographolide"	"5"
"886"	"IkBalpha_IL1"	"Andrographolide"	"6"
"887"	"IkBalpha_IL1"	"Andrographolide"	"7"
"888"	"IkBalpha_IL1"	"Andrographolide"	"8"
"889"	"IkBalpha_IL1"	"CDDO-Me"	"2"
"890"	"IkBalpha_IL1"	"CDDO-Me"	"5"
"891"	"IkBalpha_IL1"	"CDDO-Me"	"7"
"892"	"IkBalpha_IL1"	"CDDO-Me"	"8"
"893"	"IkBalpha_IL1"	"DEM"	"4"
"894"	"IkBalpha_IL1"	"DEM"	"5"
"895"	"IkBalpha_IL1"	"DEM"	"7"
"896"	"IkBalpha_IL1"	"DEM"	"8"
"897"	"IkBalpha_IL1"	"Diclofenac"	"1"
"898"	"IkBalpha_IL1"	"Diclofenac"	"7"
"899"	"IkBalpha_IL1"	"Diclofenac"	"8"
"900"	"IkBalpha_IL1"	"Diclofenac"	"9"
"901"	"IkBalpha_IL1"	"DMSO"	"1"
"902"	"IkBalpha_IL1"	"Ethacrynic acid"	"5"
"903"	"IkBalpha_IL1"	"Ethacrynic acid"	"6"
"904"	"IkBalpha_IL1"	"Ethacrynic acid"	"7"
"905"	"IkBalpha_IL1"	"Ethacrynic acid"	"8"
"906"	"IkBalpha_IL1"	"Sulforaphane"	"5"
"907"	"IkBalpha_IL1"	"Sulforaphane"	"6"
"908"	"IkBalpha_IL1"	"Sulforaphane"	"7"
"909"	"IkBalpha_IL1"	"Sulforaphane"	"8"
"910"	"IkBalpha_IL1"	"TBHQ"	"4"
"911"	"IkBalpha_IL1"	"TBHQ"	"5"
"912"	"IkBalpha_IL1"	"TBHQ"	"6"
"913"	"IkBalpha_IL1"	"TBHQ"	"7"
"914"	"IkBalpha_IL1"	"TBHQ"	"8"
"915"	"IkBalpha_IL1"	"Troglitazone"	"6"
"916"	"IkBalpha_IL1"	"Troglitazone"	"7"
"917"	"IkBalpha_IL1"	"Troglitazone"	"8"
"918"	"IkBalpha_IL1"	"Troglitazone"	"9"
"919"	"IkBalpha_TNF"	"Andrographolide"	"4"
"920"	"IkBalpha_TNF"	"Andrographolide"	"5"
"921"	"IkBalpha_TNF"	"Andrographolide"	"6"
"922"	"IkBalpha_TNF"	"Andrographolide"	"7"
"923"	"IkBalpha_TNF"	"Andrographolide"	"8"
"924"	"IkBalpha_TNF"	"CDDO-Me"	"2"
"925"	"IkBalpha_TNF"	"CDDO-Me"	"5"
"926"	"IkBalpha_TNF"	"CDDO-Me"	"7"
"927"	"IkBalpha_TNF"	"CDDO-Me"	"8"
"928"	"IkBalpha_TNF"	"DEM"	"4"
"929"	"IkBalpha_TNF"	"DEM"	"5"
"930"	"IkBalpha_TNF"	"DEM"	"7"
"931"	"IkBalpha_TNF"	"DEM"	"8"
"932"	"IkBalpha_TNF"	"Diclofenac"	"1"
"933"	"IkBalpha_TNF"	"Diclofenac"	"7"
"934"	"IkBalpha_TNF"	"Diclofenac"	"8"
"935"	"IkBalpha_TNF"	"Diclofenac"	"9"
"936"	"IkBalpha_TNF"	"DMSO"	"1"
"937"	"IkBalpha_TNF"	"Ethacrynic acid"	"5"
"938"	"IkBalpha_TNF"	"Ethacrynic acid"	"6"
"939"	"IkBalpha_TNF"	"Ethacrynic acid"	"7"
"940"	"IkBalpha_TNF"	"Ethacrynic acid"	"8"
"941"	"IkBalpha_TNF"	"Sulforaphane"	"5"
"942"	"IkBalpha_TNF"	"Sulforaphane"	"6"
"943"	"IkBalpha_TNF"	"Sulforaphane"	"7"
"944"	"IkBalpha_TNF"	"Sulforaphane"	"8"
"945"	"IkBalpha_TNF"	"TBHQ"	"4"
"946"	"IkBalpha_TNF"	"TBHQ"	"5"
